t_offset_sec,latitude,longitude,speed_kmh,accuracy_m
0,28.643002,77.2195462,0.0,21
30,28.642994,77.2195865,0.0,15
60,28.642871,77.2193635,0.0,14
90,28.6430092,77.2196106,0.0,8
120,28.6430141,77.2193625,0.0,20
150,28.6430527,77.2194784,0.0,21
180,28.6430134,77.219382,0.0,11
210,28.643107,77.2196482,0.0,19
240,28.6429601,77.2194518,0.0,9
270,28.6429294,77.2193747,0.0,8
300,28.6429265,77.219576,0.0,25
330,28.6430183,77.2196508,0.0,8
360,28.6431006,77.2194232,0.0,9
390,28.6428859,77.2193854,0.0,13
420,28.6429414,77.2194429,0.0,15
450,28.6431342,77.2193863,0.0,20
480,28.6429943,77.219384,18.06,10
510,28.642922,77.2208961,18.06,14
540,28.6430799,77.2224085,31.29,19
570,28.6432579,77.2248732,40.39,22
600,28.6432985,77.2280534,54.19,25
630,28.6432988,77.2319317,59.91,24
660,28.6435958,77.236549,74.48,25
690,28.6436477,77.2419459,82.78,21
720,28.6438769,77.2482233,88.5,16
750,28.6438849,77.2544923,88.5,24
780,28.6441029,77.26062,88.5,14
810,28.6442509,77.2667948,88.5,12
840,28.6444044,77.2728243,88.5,22
870,28.6447469,77.2790714,88.5,11
900,28.6447545,77.2853688,88.5,16
930,28.6450007,77.2914099,88.5,10
960,28.6451188,77.2977343,88.5,20
990,28.6454132,77.3039168,88.5,20
1020,28.6455764,77.3099007,88.5,20
1050,28.6456834,77.3161441,88.5,9
1080,28.6459887,77.3222013,88.5,19
1110,28.6462403,77.3286511,88.5,18
1140,28.6464133,77.3348302,88.5,14
1170,28.6465457,77.3408362,88.5,21
1200,28.646752,77.3471518,88.5,9
1230,28.6469132,77.3532613,88.5,17
1260,28.647104,77.3595594,88.5,22
1290,28.6471639,77.3656721,88.5,24
1320,28.6472967,77.3719261,88.5,22
1350,28.6476046,77.3780951,88.5,12
1380,28.6478252,77.3840773,88.5,16
1410,28.6477807,77.3902478,88.5,25
1440,28.6480143,77.3965264,88.5,9
1470,28.6482775,77.402642,88.5,16
1500,28.6484994,77.4089597,88.5,8
1530,28.6484991,77.4150654,88.5,18
1560,28.6488679,77.4213311,88.5,22
1590,28.6489443,77.4273858,88.5,22
1620,28.6449427,77.4323163,88.5,25
1650,28.63969,77.4367533,88.5,10
1680,28.6344044,77.4414518,88.5,18
1710,28.6292855,77.4459288,88.5,16
1740,28.6239336,77.4504075,88.5,23
1770,28.6184601,77.4550454,88.5,12
1800,28.6133592,77.4595824,88.5,15
1830,28.6078538,77.463922,88.5,24
1860,28.6027535,77.4686173,88.5,9
1890,28.5973694,77.4730384,88.5,16
1920,28.5921817,77.4775026,88.5,19
1950,28.5867631,77.4820405,88.5,15
